Entry Number,Name,Year,Duration,Movie Rating,Movie Score,Total votes
135,All About Eve,1950,2h 18m,Passed,8.2,137K
136,Judgment at Nuremberg,1961,2h 59m,Approved,8.3,83K
137,Trumanis Shou,1998,1h 43m,PG,8.2,1.2M
138,There Will Be Blood,2007,2h 38m,R,8.2,629K
139,Casino,1995,2h 58m,R,8.2,553K
140,Sheshlilta Kundzuli,2010,2h 18m,R,8.2,1.4M
141,Ran,1985,2h 40m,R,8.2,134K
142,Jurassic Park,1993,2h 7m,PG-13,8.2,1M
143,Pavnis labirinti,2006,1h 58m,R,8.2,694K
144,Meekvse Grdznoba,1999,1h 47m,PG-13,8.2,1M
145,Unforgiven,1992,2h 10m,R,8.2,430K
146,A Beautiful Mind,2001,2h 15m,PG-13,8.2,972K
147,No Country for Old Men,2007,2h 2m,R,8.2,1M
148,The Treasure of the Sierra Madre,1948,2h 6m,Passed,8.2,131K
149,Yôjinbô,1961,1h 50m,Not Rated,8.2,129K
150,Kill Bill: Vol,2003,1h 51m,R,8.2,1.2M
151,The Thing,1982,1h 49m,R,8.2,456K
152,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,563K
153,The Great Escape,1963,2h 52m,Approved,8.2,255K
154,Nemos dziebashi,2003,1h 40m,G,8.2,1.1M
155,Rashômon,1950,1h 28m,Not Rated,8.2,177K
156,The Elephant Man,1980,2h 4m,PG,8.2,254K
157,Chinatown,1974,2h 10m,R,8.2,344K
158,Hauru no ugoku shiro,2004,1h 59m,PG,8.2,433K
159,Dial M for Murder,1954,1h 45m,PG,8.2,186K
160,Gone with the Wind,1939,3h 58m,Passed,8.2,329K
161,Prisoners,2013,2h 33m,R,8.1,785K
162,V for Vendetta,2005,2h 12m,R,8.2,1.2M
163,Raging Bull,1980,2h 9m,R,8.1,374K
164,"Karti, fuli da ori lula",1998,1h 47m,R,8.1,608K
165,El secreto de sus ojos,2009,2h 9m,R,8.2,219K
166,Inside Out,2015,1h 35m,PG,8.1,766K
167,Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,850K
168,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,543K
169,Trainspotting,1996,1h 33m,R,8.1,716K
170,The Bridge on the River Kwai,1957,2h 41m,PG,8.1,230K
171,Fargo,1996,1h 38m,R,8.1,712K
172,Warrior,2011,2h 20m,PG-13,8.1,491K
173,Catch Me If You Can,2002,2h 21m,PG-13,8.1,1.1M
174,Gran Torino,2008,1h 56m,R,8.1,805K
175,Klaus,2019,1h 36m,PG,8.2,179K
176,Tonari no Totoro,1988,1h 26m,G,8.1,368K
177,Million Dollar Baby,2004,2h 12m,PG-13,8.1,713K
178,Harry Potter and the Deathly Hallows - Part 2,2011,2h 10m,PG-13,8.1,929K
179,Bacheha-Ye aseman,1997,1h 29m,PG,8.2,79K
180,Blade Runner,1982,1h 57m,R,8.1,809K
181,12 Years a Slave,2013,2h 14m,R,8.1,731K
182,Before Sunrise,1995,1h 41m,R,8.1,332K
183,The Grand Budapest Hotel,2014,1h 39m,R,8.1,869K
184,Ben-Hur,1959,3h 32m,G,8.1,250K
185,Barry Lyndon,1975,3h 5m,PG,8.1,179K
186,The Gold Rush,1925,1h 35m,Passed,8.1,117K
187,Gone Girl,2014,2h 29m,R,8.1,1M
188,Hacksaw Ridge,2016,2h 19m,R,8.1,578K
189,In the Name of the Father,1993,2h 13m,R,8.1,184K
190,Salinui chueok,2003,2h 11m,Not Rated,8.1,208K
191,On the Waterfront,1954,1h 48m,Approved,8.1,162K
192,The General,1926,1h 18m,Passed,8.1,97K
193,The Deer Hunter,1978,3h 3m,R,8.1,356K
194,Veluri Istoriebi,2014,2h 2m,R,8.1,212K
195,Dead Poets Society,1989,2h 8m,PG,8.1,531K
196,Smultronstället,1957,1h 31m,Not Rated,8.1,113K
197,The Third Man,1949,1h 44m,Approved,8.1,179K
198,Mad Max: Fury Road,2015,2h,R,8.1,1.1M
199,Le salaire de la peur,1953,2h 11m,Not Rated,8.2,65K
200,Sherlock Jr.,1924,45m,Passed,8.2,55K
201,"Monsters, Inc.",2001,1h 32m,G,8.1,960K
202,Jaws,1975,2h 4m,PG,8.1,648K
203,Mr,1939,2h 9m,Passed,8.1,120K
204,Rogor movarjulot drakoni,2010,1h 38m,PG,8.1,784K
205,Mary and Max.,2009,1h 32m,Not Rated,8.1,185K
206,Ford v Ferrari,2019,2h 32m,PG-13,8.1,448K
207,Det sjunde inseglet,1957,1h 36m,Not Rated,8.1,195K
208,Room,2015,1h 58m,R,8.1,443K
209,Ratatouille,2007,1h 51m,G,8.1,801K
210,The Big Lebowski,1998,1h 57m,R,8.1,847K
211,Tôkyô monogatari,1953,2h 16m,Not Rated,8.1,67K
212,Rocky,1976,2h,PG,8.1,617K
213,Hotel Rwanda,2004,2h 1m,PG-13,8.1,368K
214,Logan,2017,2h 17m,R,8.1,814K
215,Spotlight,2015,2h 9m,R,8.1,494K
216,Platoon,1986,2h,R,8.1,432K
217,La passion de Jeanne d'Arc,1928,1h 50m,Passed,8.1,59K
218,The Terminator,1984,1h 47m,R,8.1,909K
219,Before Sunset,2004,1h 20m,R,8.1,283K
220,Jai Bhim,2021,2h 44m,TV-MA,8.7,213K
221,Rush,2013,2h 3m,R,8.1,505K
222,Network,1976,2h 1m,R,8.1,168K
223,The Best Years of Our Lives,1946,2h 50m,Approved,8.1,69K
224,The Exorcist,1973,2h 2m,R,8.1,447K
225,Stand by Me,1986,1h 29m,R,8.1,432K
226,La haine,1995,1h 38m,Not Rated,8.1,191K
227,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,1.2M
228,The Wizard of Oz,1939,1h 42m,G,8.1,421K
229,The Incredibles,2004,1h 55m,PG,8.0,790K
230,Into the Wild,2007,2h 28m,R,8.1,649K
231,Hachi: A Dog's Tale,2009,1h 33m,G,8.1,305K
232,Ah-ga-ssi,2016,2h 25m,Not Rated,8.1,167K
233,To Be or Not to Be,1942,1h 39m,Passed,8.1,42K
234,Babam ve Oglum,2005,1h 52m,Not Rated,8.2,91K
235,Groundhog Day,1993,1h 41m,PG,8.0,671K
236,La battaglia di Algeri,1966,2h 1m,Not Rated,8.1,64K
237,The Grapes of Wrath,1940,2h 9m,Passed,8.1,99K
238,The Sound of Music,1965,2h 52m,G,8.1,253K
239,Amores perros,2000,2h 34m,R,8.1,250K
240,Rebecca,1940,2h 10m,Approved,8.1,144K
241,Cool Hand Luke,1967,2h 7m,GP,8.1,186K
242,The Iron Giant,1999,1h 26m,PG,8.1,220K
243,The Help,2011,2h 26m,PG-13,8.1,484K
244,It Happened One Night,1934,1h 45m,Passed,8.1,110K
245,Pather Panchali,1955,2h 5m,Not Rated,8.2,37K
246,Les quatre cents coups,1959,1h 39m,Not Rated,8.1,126K
247,Aladdin,1992,1h 30m,G,8.0,456K
248,Dances with Wolves,1990,3h 1m,PG-13,8.0,285K
249,Life of Brian,1979,1h 34m,R,8.0,418K
250,Drishyam,2015,2h 43m,Not Rated,8.2,92K
